nome,birthday,nationality
Tom Hanks,1956-07-09,United States
Meryl Streep,1949-06-22,United States
Leonardo DiCaprio,1974-11-11,United States
Scarlett Johansson,1984-11-22,United States
Denzel Washington,1954-12-28,United States
Jennifer Lawrence,1990-08-15,United States
Johnny Depp,1963-06-09,United States
Angelina Jolie,1975-06-04,United States
Will Smith,1968-09-25,United States
Natalie Portman,1981-06-09,United States
Brad Pitt,1963-12-18,United States
Julia Roberts,1967-10-28,United States
Robert Downey Jr.,1965-04-04,United States
Kate Winslet,1975-10-05,United Kingdom
Joaquin Phoenix,1974-10-28,United States
Emma Stone,1988-11-06,United States
Anne Hathaway,1982-11-12,United States
George Clooney,1961-05-06,United States
Matt Damon,1970-10-08,United States
Charlize Theron,1975-08-07,South Africa
Cate Blanchett,1969-05-14,Australia
Daniel Day-Lewis,1957-04-29,United Kingdom
Al Pacino,1940-04-25,United States
Nicole Kidman,1967-06-20,United States
Emma Watson,1990-04-15,United Kingdom
Christian Bale,1974-01-30,United Kingdom
Viola Davis,1965-08-11,United States
Samuel L. Jackson,1948-12-21,United States
Harrison Ford,1942-07-13,United States
